competency_id,competency_name,competency_type,area,description,source,source_url
COMP_001,Official Statistics,Domain,Official Statistical System,Understanding and application of concepts and practices used in the Indian Official Statistical System,MoSPI/NSSTA,https://nssta.gov.in/offerings
COMP_002,Survey Methodology,Domain,Statistical Methods,Understanding survey design sampling data collection processing and estimation methods,MoSPI/NSSTA,https://nssta.gov.in/offerings
COMP_003,Statistical Methods,Functional,Statistics,Application of statistical methods for analysis and interpretation of data,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/announcements/refdoc_nsc_nssta_final_8aug18.pdf
COMP_004,Data Analysis,Functional,Data Analytics,Ability to analyze statistical and administrative data using appropriate analytical methods,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_005,Data Analytics,Functional,Data Analytics,Application of data analytics techniques to official statistical data,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_006,Data Visualization,Functional,Data Analytics,Ability to communicate statistical information using appropriate visualizations,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf?download=1
COMP_007,Data Mining,Functional,Data Analytics,Application of data mining techniques for extracting useful information from data,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_008,Big Data Analysis,Functional,Data Analytics,Understanding and analysis of large and complex datasets,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_009,Artificial Intelligence and Machine Learning,Functional,Emerging Technologies,Understanding and application of AI and machine learning in official statistics,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf?download=1
COMP_010,Statistical Programming,Functional,Computing,Ability to use statistical programming tools for data analysis,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_011,R Programming,Functional,Statistical Computing,Ability to perform statistical analysis using R,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_012,SPSS,Functional,Statistical Computing,Ability to use SPSS for statistical analysis of unit-level data,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_013,Econometrics,Domain,Economics and Statistics,Application of econometric methods for statistical and economic analysis,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf
COMP_014,Time Series Analysis,Functional,Statistical Analysis,Analysis and interpretation of time-series data,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf
