course_id,course_name,duration,provider,course_url,recommendation_category,source
IGOT_001,Public Policy and the VUCA World,2 hr 7 min,Indian Institute of Public Administration,https://portal.igotkarmayogi.gov.in/app/toc/do_1134354826750771201203,Functional - JS & Above,iGOT NLW 2024
IGOT_002,Digital Personal Data Protection Act 2023: An Overview,1 hr 12 mins,Karmayogi Bharat,https://portal.igotkarmayogi.gov.in/app/toc/do_11401522104510054415,Functional - JS & Above,iGOT NLW 2024
IGOT_003,Public Policy Writing,2 hr 45 mins,Indian School of Public Policy,https://portal.igotkarmayogi.gov.in/app/toc/do_1139301654992896001153,Functional - JS & Above,iGOT NLW 2024
IGOT_004,Gen AI for Everyone,2 hrs 49 mins,Fractal,https://portal.igotkarmayogi.gov.in/app/toc/do_114085334432260096152,Functional - JS & Above,iGOT NLW 2024
IGOT_005,Data Storytelling,2 hrs 49 mins,Fractal,https://portal.igotkarmayogi.gov.in/app/toc/do_1141311869341614081189,Functional - JS & Above,iGOT NLW 2024
IGOT_006,Introduction to Emerging Technologies,2 hr 20 mins,Wadhwani Foundation,https://portal.igotkarmayogi.gov.in/app/toc/do_1136258909109616641481,Functional - JS & Above,iGOT NLW 2024
IGOT_007,Finance for Non-finance Professionals (FNFP),55 mins,NSE Academy Ltd,https://portal.igotkarmayogi.gov.in/app/toc/do_11390113879938662411,Functional - JS & Above,iGOT NLW 2024
IGOT_008,Public - Private Partnership,1 hr 50 mins,ISB Hyderabad,https://portal.igotkarmayogi.gov.in/app/toc/do_113952832553205760115,Functional - JS & Above,iGOT NLW 2024
IGOT_009,Jan Bhagidari Program (English),1 hr 20 mins,Illumine Knowledge Resources,https://portal.igotkarmayogi.gov.in/app/toc/do_1141065817229475841277,Functional - JS & Above,iGOT NLW 2024
IGOT_010,Jan Bhagidari Program (Hindi),1 hr 20 mins,Illumine Knowledge Resources,https://portal.igotkarmayogi.gov.in/app/toc/do_1141297935500820481111,Functional - JS & Above,iGOT NLW 2024
IGOT_011,ChatGPT and Generative AI tools for Government Officials,1 hr,Wadhwani Foundation,https://portal.igotkarmayogi.gov.in/app/toc/do_114085865386598400145,Functional - JS & Above,iGOT NLW 2024
IGOT_012,Delegation of power in day-to-day Administration,1 hr 25 mins,ISTM,https://portal.igotkarmayogi.gov.in/app/toc/do_1140307107923312641183,Functional - JS & Above,iGOT NLW 2024
IGOT_013,Mission Karmayogi,1 hr,Karmayogi Bharat,https://portal.igotkarmayogi.gov.in/app/toc/do_1141637027431383041450,Functional - JS & Above,iGOT NLW 2024
IGOT_014,Viksit Bharat,1 hr,Niti Aayog,https://portal.igotkarmayogi.gov.in/app/toc/do_1141534070151987201679,Functional - JS & Above,iGOT NLW 2024
IGOT_015,Cyber Security,2 hr 56 min,UpGrad,https://portal.igotkarmayogi.gov.in/app/toc/do_11391672014338457611,Functional - JS & Above,iGOT NLW 2024
IGOT_016,Design Thinking,1 hr 55 min,Capacity Building Commission,https://portal.igotkarmayogi.gov.in/app/toc/do_113858103759618048193,Functional - JS & Above,iGOT NLW 2024
IGOT_017,Fundamentals of Program and Project Management,9 hr 5 min,Quality Council of India,https://portal.igotkarmayogi.gov.in/app/toc/do_1138317860123607041131,Functional - JS & Above,iGOT NLW 2024
IGOT_018,Leading the Karmayogi Way,2 hr 15 min,Totally Aligned Organization,https://portal.igotkarmayogi.gov.in/app/toc/do_113960769474232320131,Functional - JS & Above,iGOT NLW 2024
IGOT_019,Speaking Effectively,5 hrs 14 mins,Harappa Education,https://portal.igotkarmayogi.gov.in/app/toc/do_1138416487704576001135,Behavioral - JS & Above,iGOT NLW 2024
IGOT_020,Structuring Problems,2 hrs 37 mins,Harappa Education,https://portal.igotkarmayogi.gov.in/app/toc/do_1138416474369310721120,Behavioral - JS & Above,iGOT NLW 2024
IGOT_021,Purpose-Driven Leadership,1 hr 55 mins,ISB Hyderabad,https://portal.igotkarmayogi.gov.in/app/toc/do_113952147264946176170,Behavioral - JS & Above,iGOT NLW 2024
IGOT_022,Human Decision Making and its Biases,2 hrs 18 mins,Fractal,https://portal.igotkarmayogi.gov.in/app/toc/do_1141142234379386881387,Behavioral - JS & Above,iGOT NLW 2024
IGOT_023,Structured Approach to Problem Solving,3 hrs 8 mins,Fractal,https://portal.igotkarmayogi.gov.in/app/toc/do_114141193899892736139,Behavioral - JS & Above,iGOT NLW 2024
IGOT_024,Team Building,1 hr 25 mins,DoPT,https://portal.igotkarmayogi.gov.in/app/toc/do_113827634862047232152,Behavioral - JS & Above,iGOT NLW 2024
