programme_id,programme_name,training_area,duration_days,participants,batch_size,venue_or_institute,financial_year,source_url
TPAC_001,ISS Probationary Training,Survey Methodology and Data Analysis,5,ISS Probationers,28,ISI Kolkata,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_002,ISS Probationary Training,Basics of Macro Economic Theory,5,ISS Probationers,28,DSE New Delhi,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_003,ISS Probationary Training,Fundamentals of Official Statistics and Office Procedure,5,ISS Probationers,31,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_004,ISS Probationary Training,Administrative Statistics,5,ISS Probationers,31,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_005,ISS Probationary Training,Current Economic Issues and Energy and Environment,5,ISS Probationers,28,IIM Ahmedabad / IGIDR Mumbai,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_006,ISS Probationary Training,Derived Statistics and Official Statistics,5,ISS Probationers,31,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_007,ISS Probationary Training,Population and Demography Statistics,5,ISS Probationers,28,IIPS Mumbai,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_008,ISS Probationary Training,Agriculture and Allied Statistics,5,ISS Probationers,31,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_009,SSS In-Service Training,Team Building and Leadership through Adventure Sports,5,SSOs,25,NIM Uttarkashi,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_010,SSS Online Workshop,Nuances of Data Collection,0.5,SSOs JSOs and field staff,200-1000,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_011,ISS Probationary Training,Financial Statistics,5,ISS Probationers,28,NIBM Pune,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_012,ISS Probationary Training,Labour Force Statistics and Price Statistics,5,ISS Probationers,31,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_013,SSS In-Service Training,Soft Skills Personality Development and Professional Excellence,5,JSOs,25,DES Kerala,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_014,MCTP Phase 1 Stage I,Foundation Course on Machine Learning using Python,5,ISS officers with 8-10 years service,25,IIT Madras / IISc Bengaluru / C R Rao Hyderabad / IITs,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_015,SSS Online Workshop,Personality Development and Interpersonal Relationships,0.5,SSOs JSOs and field staff,200-1000,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_016,ISS Probationary Training,Big Data Data Mining Data Warehousing Data Analytics Artificial Intelligence Python Hadoop,5,ISS Probationers,28,IIT Madras / IISc Bengaluru / C R Rao Hyderabad / IITs / IIIT,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_017,ISS Probationary Training,National Accounts Statistics Social Statistics and Education Statistics,5,ISS Probationers,31,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_018,SSS Online Workshop,Professional Communication and Effective Presentation,0.5,SSOs JSOs and field staff,200-1000,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_019,ISS Probationary Training,Industrial Statistics and Trade Statistics,5,ISS Probationers,31,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_020,NSSTA Workshop,Official Statistics and Scope in this Field,1,University Students,100,University Campus,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_021,DSTP,Team Building and Leadership through Adventure Sports,5,In-Service ISS Officers,25,Jammu and Kashmir / Uttarkashi / Manali / Darjeeling,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_022,SSS Online Workshop,Effective Noting and Drafting,0.5,SSOs JSOs and field staff,200-1000,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_023,ISS Probationary Training,Application of GIS Forest Statistics and Data Tools,5,ISS Probationers,31,IIRS and FSI Dehradun,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_024,SSS In-Service Training,GFR and Procurement of Goods and Services,5,SSOs,25,AJ-NIFM Faridabad,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_025,SSS Online Workshop,Public Speaking,0.5,SSOs JSOs and field staff,200-1000,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_026,DES Training Programme,Sampling Techniques and Large Scale Sample Surveys,5,DES Officers,30,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_027,SSS Online Workshop,Cyber Security,0.5,SSOs JSOs and field staff,200-1000,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_028,ISS Probationary Training,Monitoring and Evaluation,5,ISS Probationers,28,ASCI Hyderabad / NITI Aayog / NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_029,ISS Probationary Training,Communication and Presentation Skills,5,ISS Probationers,31,IIPA New Delhi / IIMC / British Council,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_030,MCTP Phase 2 Stage I,Design Evaluation and Execution of Projects,5,ISS officers with 15-19 years service,25,IIM Kozhikode / IIT / IIM,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
TPAC_031,SSS Online Workshop,ChatGPT,0.5,SSOs JSOs and field staff,200-1000,NSSTA,2025-26,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf
