role_id,role_name,service,role_category,department,source,source_url
ROLE_001,Junior Statistical Officer,Subordinate Statistical Service (SSS),Statistical,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_002,Senior Statistical Officer,Subordinate Statistical Service (SSS),Statistical,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_003,Statistical Officer,Subordinate Statistical Service (SSS),Statistical,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_004,Statistical Assistant,State/UT Statistical System,Statistical,State/UT Government,NSSTA,https://nssta.gov.in/offerings
ROLE_005,Inspector of Statistics,State/UT Statistical System,Statistical,State/UT Government,NSSTA,https://nssta.gov.in/offerings
ROLE_006,Statistical Investigator Grade 2,State/UT Statistical System,Statistical,State/UT Government,NSSTA,https://nssta.gov.in/offerings
ROLE_007,Deputy Statistical Officer,State/UT Statistical System,Statistical,State/UT Government,NSSTA,https://nssta.gov.in/offerings
ROLE_008,Assistant Director,Indian Statistical Service (ISS),Statistical/Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_009,Assistant Director (Statistics),Indian Statistical Service (ISS),Statistical,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_010,Deputy Director,Indian Statistical Service (ISS),Statistical/Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_011,Deputy Director (Indian Statistical Service),Indian Statistical Service (ISS),Statistical/Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_012,Joint Director,Indian Statistical Service (ISS),Statistical/Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_013,Director,Indian Statistical Service (ISS),Statistical/Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_014,Director (Statistics),Indian Statistical Service (ISS),Statistical,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_015,Deputy Director General,Indian Statistical Service (ISS),Senior Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_016,Deputy Director General & HOD,Indian Statistical Service (ISS),Senior Management,NSSTA,MoSPI NSSTA,https://www.mospi.gov.in/telephone-directory?cat=748
ROLE_017,Additional Director General (Training Division),Indian Statistical Service (ISS),Senior Management,MoSPI NSO,MoSPI,https://www.mospi.gov.in/
ROLE_018,ISS Probationer,Indian Statistical Service (ISS),Entry/Training,MoSPI,NSSTA,https://nssta.gov.in/offerings
ROLE_019,ISS Officer - Junior Time Scale,Indian Statistical Service (ISS),Statistical/Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_020,ISS Officer - Senior Time Scale,Indian Statistical Service (ISS),Statistical/Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_021,ISS Officer - Junior Administrative Grade,Indian Statistical Service (ISS),Statistical/Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_022,ISS Officer - Senior Administrative Grade,Indian Statistical Service (ISS),Senior Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_023,ISS Officer - Higher Administrative Grade,Indian Statistical Service (ISS),Senior Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_024,ISS Officer - Higher Administrative Grade Plus,Indian Statistical Service (ISS),Senior Management,MoSPI,MoSPI,https://www.mospi.gov.in/
ROLE_025,State/UT Statistical Personnel,State/UT Statistical System,Statistical,State/UT Government,NSSTA,https://nssta.gov.in/offerings
ROLE_026,SSS Officer,Subordinate Statistical Service (SSS),Statistical,MoSPI,NSSTA,https://nssta.gov.in/offerings
ROLE_027,SSS Induction Trainee,Subordinate Statistical Service (SSS),Entry/Training,MoSPI,NSSTA,https://nssta.gov.in/offerings
ROLE_028,ISS Refresher Training Participant,Indian Statistical Service (ISS),Training,MoSPI,NSSTA,https://nssta.gov.in/offerings
